index	beams	T	ik_x	ik_y	thetaX_mrad	thetaY_mrad
706	45	9.97658	-3	-11	12.42010	43.63610
707	45	9.97522	-3	-10	13.42340	40.04830
708	45	9.97401	-4	-9	14.52320	36.48990
709	45	9.97297	-4	-8	15.59480	33.02240
710	45	9.97204	-4	-8	16.69470	29.46340
711	45	9.97127	-5	-7	17.89100	25.93390
712	45	9.97059	-5	-6	18.89480	22.34480
713	45	9.97007	-5	-5	19.99490	18.78530
714	45	9.96969	-5	-4	21.09500	15.22580
715	45	9.96945	-6	-3	22.19510	11.66620
716	45	9.96938	-6	-2	23.39140	 8.13650
717	45	9.96939	-6	-1	24.39520	 4.54730
718	45	9.96956	-7	0	25.49520	 0.98810
719	45	9.96988	-7	1	26.59520	-2.57090
720	45	9.97032	-7	2	27.66680	-6.03840
721	45	9.97093	-7	2	28.86280	-9.56710
722	45	9.97163	-8	3	29.86620	-13.15490
723	45	9.97249	-8	4	30.96570	-16.71250
724	45	9.97349	-8	5	32.06500	-20.26960
725	45	9.97464	-9	6	33.16420	-23.82620
726	45	9.97591	-9	7	34.33130	-27.26130
727	45	9.97729	-9	8	35.33390	-30.84640
728	45	9.97885	-9	9	36.43240	-34.40100
729	45	9.98054	-10	10	37.53080	-37.95490
730	45	9.98237	-10	11	38.62890	-41.50800
731	45	9.98342	-11	10	42.38370	-40.34760
732	45	9.98159	-11	9	41.28560	-36.79450
733	45	9.97989	-10	9	40.18730	-33.24060
734	45	9.97834	-10	8	39.08870	-29.68590
735	45	9.97696	-10	7	38.01800	-26.22170
736	45	9.97568	-9	6	36.91900	-22.66570
737	45	9.97454	-9	5	35.81990	-19.10920
738	45	9.97354	-9	4	34.72050	-15.55200
739	45	9.97267	-9	3	33.62100	-11.99440
740	45	9.97195	-8	2	32.52140	-8.43640
741	45	9.9714	-8	1	31.54610	-4.93940
742	45	9.97092	-8	0	30.35000	-1.41050
743	45	9.97061	-8	-1	29.25000	 2.14860
744	45	9.97043	-7	-1	28.15000	 5.70780
745	45	9.97039	-7	-2	27.05000	 9.26720
746	45	9.97052	-7	-3	26.04620	12.85640
747	45	9.97074	-6	-4	24.84980	16.38620
748	45	9.97111	-6	-5	23.74970	19.94580
749	45	9.97163	-6	-6	22.64960	23.50530
